happy,sad,disgust,angry,surprised,fear
가뿐하다,가슴앓이,가소롭다,갈기갈기,갑작스럽다,가혹하다
감개무량하다,가엽다,거북하다,개새끼,경악하다,강압적
감격스럽다,가엾다,경박하다,개자식,경이,겁쟁이
감격하다,가혹하다,괴상하다,격노하다,급작스럽다,공포감
감동스럽다,각박하다,괴팍하다,격분하다,기겁하다,공포스럽다
감동하다,간절하다,구역질나다,격양되다,기막히다,급박
감명깊다,개탄스럽다,구질구질하다,격해지다,기묘하다,긴박하다
감미롭다,걱정스럽다,꺼림칙하다,괘씸하다,기이하다,긴장되다
감복하다,걱정하다,꼴불견,굴욕감,기절초풍하다,끔찍하다
감사하다,고뇌하다,넌더리,그놈,기절하다,낯설다
감탄하다,고단하다,느글거리다,기집년,까무러치다,냉혹하다
감회,고달프다,더럽다,나쁘다,깜짝,노심초사하다
감흥,고독하다,망측하다,네놈,놀랍다,두렵다
개운하다,고민스럽다,부담스럽다,니미,당혹하다,몸서리치다
경쾌하다,고통스럽다,역겹다,멸시당하다,당황하다,무섭다
고맙다,곤란하다,지독하다,모멸감,만만찮다,불길하다
고무되다,곤욕스럽다,코웃음치다,모욕적,쇼킹하다,불안정하다
고취되다,곤혹스럽다,해괴하다,무시당하다,아뿔싸,불안하다
근사하다,공허하다,흉측하다,미친개,아연실색하다,살벌하다
기껍다,괴롭다,거북스럽다,밉다,아이쿠,섬뜩하다
기분좋다,구차하다,경멸스럽다,발칙하다,아차,소름끼치다
기쁘다,권태롭다,고깝다,버럭,앗,스릴
까르르,그리워하다,괘씸하다,복수심,움찔하다,스산
깔깔깔깔,근심스럽다,께름칙하다,분개하다,으악,아슬아슬하다
껄껄껄,글썽글썽하다,께름하다,분노하다,철렁하다,아악
끼득끼득,기구하다,밉다,분통터지다,충격적,안절부절하다
낄낄낄,낙담하다,불만스럽다,분하다,헉,오싹하다
낭만적,낙망하다,불만족스럽다,불만스럽다,휘둥그레지다,와들와들
달갑다,낙심하다,불만족하다,불만족하다,흠칫하다,위축되다
대견스럽다,난감하다,불유쾌하다,불유쾌하다,감탄스럽다,으스스하다
대견하다,난처하다,불쾌스럽다,빌어먹을,경악스럽다,잔인하다
두근거리다,낭패스럽다,불쾌하다,뾰루퉁하다,당혹스럽다,잔혹하다
따뜻하다,냉혹하다,섭섭하다,삐치다,당황스럽다,조마조마하다
따스하다,노심초사하다,속상하다,속썩이다,아연하다,조바심하다
만족스럽다,눈물겹다,시룻하다,신경질적,혼미하다,질겁하다
만족하다,동정하다,실망스럽다,심술궂다,황당하다,쩔쩔매다
매력적,딱하다,싫다,심통,급박,참혹하다
매료되다,망극하다,싫증나다,싸가지,낯설다,초조하다
반갑다,막막하다,아니꼽다,쌍년,질겁하다,
방그레,망막하다,야속스럽다,쌍놈,아악,
방글방글,망연,야속하다,씨부랄,감탄하다,
방긋,망연자실하다,어색스럽다,씨부렁거리다,곤혹스럽다,
보람차다,무료하다,어색하다,씩씩거리다,윽,
빙그레,뭉클하다,언짢다,씹새끼,신기하다,
뿌듯하다,미안스럽다,염증나다,아으,난감하다,
사랑스럽다,미안하다,원망스럽다,야박하다,아하,
살맛나다,부끄럽다,원통스럽다,얄밉다,전율하다,
상기되다,불쌍하다,원통하다,어이없다,,
상쾌하다,불안스럽다,유감스럽다,언짢다,,
상큼하다,불안하다,증오스럽다,옘병할,,
설레다,불행하다,지겹다,울화통,,
신명나다,비련하다,지긋지긋하다,웃음거리,,
신바람나다,비참하다,진력나다,원망하다,,
신선하다,비탄하다,진저리나다,웬수,,
싱글벙글하다,비통하다,질리다,으이구,,
쌩끗,상실감,짜증나다,의심스럽다,,
쑥쓰럽다,서글프다,짜증스럽다,이새끼,,
씰룩거리다,서럽다,혐오스럽다,잡놈,,
아하,섭섭하다,환멸스럽다,저놈,,
아하하,속상하다,가당찮다,제기랄,,
애룻하다,송구스럽다,가증스럽다,증오하다,,
어여쁘다,송구하다,거지같다,지랄하다,,
얼씨구,수치스럽다,골칫거리다,진노하다,,
영광스럽다,숙연하다,빈정,질투하다,,
예쁘다,슬퍼하다,야비하다,짜증나다,,
우아하다,슬프다,거슬리다,치사하다,,
웃다,시름겹다,경멸하다,치욕적,,
웃어넘기다,시름없다,고약하다,흥분하다,,
원더풀,실망하다,한심하다,골나다,,
유쾌하다,심각하다,신물나다,노엽다,,
으쓱하다,심란스럽다,떨떠름하다,비분하다,,
으하하하,심란하다,끔찍하다,성질나다,,
이힛힛힛,심려스럽다,몸서리치다,신경질나다,,
자랑스럽다,심려하다,구차하다,심통나다,,
자부하다,심심하다,오그라들다,역정나다,,
재미있다,싱숭생숭하다,수치스럽다,울분스럽다,,
전율하다,쓴웃음,울화치밀다,울분하다,,
정가다,쓸쓸하다,,쓰레기,,
정겹다,아깝다,,화나다,,
즐겁다,아련하다,,가당찮다,,
짜릿하다,아쉽다,,가증스럽다,,
천만다행이다,아유,,거지같다,,
친근하다,아이고,,골칫거리다,,
친숙하다,안쓰럽다,,빈정,,
카핫핫핫,안타깝다,,아니꼽다,,
콩닥거리다,암담하다,,야비하다,,
쾌적하다,암울한,,거슬리다,,
킬킬거리다,애달프다,,경멸하다,,
통쾌하다,애닯다,,고약하다,,
편안하다,애도하다,,불쾌하다,,
하하,애련하다,,싫다,,
학수고대하다,애석하다,,한심하다,,
함박웃음,애잔하다,,아유,,
행복하다,애절하다,,억울하다,,
허허,애처롭다,,강압적,,
호감가다,애통하다,,마땅찮다,,
혼쾌하다,애틋하다,,갈등하다,,
황공스럽다,야속하다,,수치스럽다,,
황공하다,억울하다,,쓰래기,,
황송스럽다,염려스럽다,,기레기,,
황송하다,염려하다,,적폐,,
황홀하다,외롭다,,추접,,
후련하다,외톨이,,썩다,,
후후,우려스럽다,,새끼,,
훌륭하다,우울하다,,섀끼,,
흐뭇하다,울어,,꺼지다,,
흐흐,울먹이다,,꺼져라,,
흡족스럽다,울며불며,,씨발,,
흡족하다,울부짖다,,개판,,
흥겹다,울분,,꼴통,,
흥나다,울상,,,,
희희낙락하다,울적하다,,,,
히죽거리다,울컥하다,,,,
,원통하다,,,,
,위축되다,,,,
,유감스럽다,,,,
,으앙,,,,
,음울하다,,,,
,의심스럽다,,,,
,의아스럽다,,,,
,의아하다,,,,
,자책하다,,,,
,자포자기하다,,,,
,적적하다,,,,
,전전긍긍하다,,,,
,절규하다,,,,
,절망하다,,,,
,절박하다,,,,
,절실하다,,,,
,절절매다,,,,
,절절하다,,,,
,조마조마하다,,,,
,조바심나다,,,,
,좌절되다,,,,
,죄송스럽다,,,,
,죄송하다,,,,
,죄책감,,,,
,주눅들다,,,,
,쩔쩔매다,,,,
,찡하다,,,,
,착잡하다,,,,
,참담하다,,,,
,참혹하다,,,,
,참회하다,,,,
,창피하다,,,,
,처량스럽다,,,,
,처량하다,,,,
,처연스럽다,,,,
,처절하다,,,,
,처참하다,,,,
,청승맞다,,,,
,초라하다,,,,
,초연하다,,,,
,초조하다,,,,
,측은하다,,,,
,침울하다,,,,
,침통하다,,,,
,탄복하다,,,,
,탄식하다,,,,
,통탄스럽다,,,,
,통탄하다,,,,
,한숨짓다,,,,
,한탄스럽다,,,,
,허망스럽다,,,,
,허망하다,,,,
,허무하다,,,,
,허전하다,,,,
,허탈하다,,,,
,혼란하다,,,,
,후회하다,,,,
,휑하다,,,,
,흑흑,,,,
,명복,,,,
,고인,,,,
